State,Constituency,Votes,Percentage,Party,Candidate,latitude,longitude
Andaman & Nicobar Islands,Andaman & Nicobar Islands ,95308,45.98,Indian National Congress,KULDEEP RAI SHARMA,11.7400867,92.6586401
Andhra Pradesh,Amalapuram,485313,39.43,Yuvajana Sramika Rythu Congress Party,CHINTA ANURADHA,16,80
Andhra Pradesh,Anakapalli,586226,47.33,Yuvajana Sramika Rythu Congress Party,Dr.Beesetti Venkata Satyavathi,16,80
Andhra Pradesh,Anantapur,695208,51.79,Yuvajana Sramika Rythu Congress Party,TALARI RANGAIAH,16,80
Andhra Pradesh,Aruku,562190,52.32,Yuvajana Sramika Rythu Congress Party,GODDETI. MADHAVI,16,80
Andhra Pradesh,Bapatla,598257,47.24,Yuvajana Sramika Rythu Congress Party,NANDIGAM SURESH,16,80
Andhra Pradesh,Chittoor,686792,52.05,Yuvajana Sramika Rythu Congress Party,N. REDDEPPA,16,80
Andhra Pradesh,Eluru,676809,50.97,Yuvajana Sramika Rythu Congress Party,KOTAGIRI SRIDHAR,16,80
Andhra Pradesh,Hindupur,706602,52.79,Yuvajana Sramika Rythu Congress Party,KURUVA GORANTLA MADHAV,16,80
Andhra Pradesh,Kadapa,783799,63.8,Yuvajana Sramika Rythu Congress Party,Y.S.Avinash Reddy,16,80
Andhra Pradesh,Kurnool,602554,50.98,Yuvajana Sramika Rythu Congress Party,AYUSHMAN DOCTOR SANJEEV KUMAR,16,80
Andhra Pradesh,Machilipatnam,571436,46.02,Yuvajana Sramika Rythu Congress Party,BALASHOWRY VALLABHANENI,16,80
Andhra Pradesh,Nandyal,720888,55.49,Yuvajana Sramika Rythu Congress Party,POCHA . BRAHMANANDA REDDY,16,80
Andhra Pradesh,Narasaraopet,745089,51.83,Yuvajana Sramika Rythu Congress Party,LAVU SRI KRISHNA DEVARAYALU,16,80
Andhra Pradesh,Narsapuram,447594,38.11,Yuvajana Sramika Rythu Congress Party,KANUMURU RAGHU RAMA KRISHNA RAJU,16,80
Andhra Pradesh,Nellore,683830,53.13,Yuvajana Sramika Rythu Congress Party,Adala Prabhakara Reddy,16,80
Andhra Pradesh,Ongole,739202,55.07,Yuvajana Sramika Rythu Congress Party,MAGUNTA SREENIVASULU REDDY,16,80
Andhra Pradesh,Rajahmundry,582024,46.55,Yuvajana Sramika Rythu Congress Party,MARGANI BHARAT,16,80
Andhra Pradesh,Rajampet,702211,57.35,Yuvajana Sramika Rythu Congress Party,P.V.MIDHUN REDDY,16,80
Andhra Pradesh,Srikakulam,534544,46.19,Telugu Desam,KINJARAPU RAM MOHAN NAIDU,16,80
Andhra Pradesh,Tirupati,722877,55.03,Yuvajana Sramika Rythu Congress Party,Balli Durga Prasad Rao,16,80
Andhra Pradesh,Vijayawada,575498,45.04,Telugu Desam,KESINENI SRINIVAS (NANI),16,80
Andhra Pradesh,Visakhapatnam,436906,35.24,Yuvajana Sramika Rythu Congress Party,M V V SATYANARAYANA,16,80
Andhra Pradesh,Vizianagaram,578418,47.49,Yuvajana Sramika Rythu Congress Party,Bellana Chandra Sekhar,16,80
Andhra Pradesh ,Guntur,587918,43.5,Telugu Desam,Jayadev Galla,16,80
Andhra Pradesh ,Kakinada,537630,43.54,Yuvajana Sramika Rythu Congress Party,VANGA GEETHAVISWANATH,16,80
Arunachal Pradesh,ARUNACHAL EAST,153883,52.38,Bharatiya Janata Party,Tapir Gao,28,95
Arunachal Pradesh,ARUNACHAL WEST,225796,63.02,Bharatiya Janata Party,KIREN RIJIJU,28,95
Assam,Autonomous District,381316,61.73,Bharatiya Janata Party,HOREN SING BEY,26.2006043,92.9375739
Assam,Barpeta,645173,44.23,Indian National Congress,Abdul Khaleque,26.2006043,92.9375739
Assam,Dhubri,718764,42.66,All India United Democratic Front,BADRUDDIN AJMAL,26.2006043,92.9375739
Assam,Dibrugarh,659583,64.94,Bharatiya Janata Party,RAMESWAR TELI,26.2006043,92.9375739
Assam,Gauhati,1008936,57.2,Bharatiya Janata Party,QUEEN OJA,26.2006043,92.9375739
Assam,Jorhat,543288,51.35,Bharatiya Janata Party,TOPON KUMAR GOGOI,26.2006043,92.9375739
Assam,Kaliabor,786092,55.18,Indian National Congress,Gaurav Gogoi,26.2006043,92.9375739
Assam,Karimganj,473046,44.62,Bharatiya Janata Party,KRIPANATH MALLAH,26.2006043,92.9375739
Assam,Kokrajhar,484560,32.75,Independent,Naba Kumar Sarania,26.2006043,92.9375739
Assam,Lakhimpur,776406,60.49,Bharatiya Janata Party,PRADAN BARUAH,26.2006043,92.9375739
Assam,Mangaldoi,735469,48.83,Bharatiya Janata Party,DILIP SAIKIA,26.2006043,92.9375739
Assam,Nowgong,739724,49.53,Indian National Congress,Pradyut Bordoloi,26.2006043,92.9375739
Assam,Silchar,499414,52.59,Bharatiya Janata Party,RAJDEEP ROY,26.2006043,92.9375739
Assam,Tezpur,684166,57.48,Bharatiya Janata Party,PALLAB LOCHAN DAS,26.2006043,92.9375739
Bihar,Araria,618434,52.87,Bharatiya Janata Party,PRADEEP KUMAR SINGH,25.11,85.32
Bihar,Arrah,566480,52.42,Bharatiya Janata Party,R. K. Singh,25.11,85.32
Bihar,Aurangabad,431541,45.83,Bharatiya Janata Party,SUSHIL KUMAR SINGH,25.11,85.32
Bihar,Banka,477788,47.98,Janata Dal (United),GIRIDHARI YADAV,25.11,85.32
Bihar,Begusarai,692193,56.48,Bharatiya Janata Party,Giriraj Singh,25.11,85.32
Bihar,Bhagalpur,618254,59.3,Janata Dal (United),AJAY KUMAR MANDAL,25.11,85.32
Bihar,Buxar,473053,47.94,Bharatiya Janata Party,Ashwini Kumar Choubey,25.11,85.32
Bihar,Darbhanga,586668,60.79,Bharatiya Janata Party,Gopal Jee Thakur,25.11,85.32
Bihar,Gaya (SC),467007,48.79,Janata Dal (United),Vijay Kumar,25.11,85.32
Bihar,Gopalganj (SC),568150,55.44,Janata Dal (United),DR. ALOK KUMAR SUMAN,25.11,85.32
Bihar,Hajipur (SC),541310,53.76,Lok Jan Shakti Party,PASHU PATI KUMAR PARAS,25.11,85.32
Bihar,Jahanabad,335584,40.82,Janata Dal (United),CHANDESHWAR PRASAD,25.11,85.32
Bihar,Jamui (SC),529134,55.75,Lok Jan Shakti Party,CHIRAG KUMAR PASWAN,25.11,85.32
Bihar,Jhanjharpur,602391,56.8,Janata Dal (United),Ramprit Mandal,25.11,85.32
Bihar,Karakat,398408,45.86,Janata Dal (United),MAHABALI SINGH,25.11,85.32
Bihar,Katihar,559423,50.05,Janata Dal (United),DULAL CHANDRA GOSWAMI,25.11,85.32
Bihar,Khagaria,510193,52.77,Lok Jan Shakti Party,Choudhary Mehboob Ali Kaiser,25.11,85.32
Bihar,Kishanganj,367017,33.32,Indian National Congress,Dr. Mohammad Jawed,25.11,85.32
Bihar,Madhepura,624334,54.42,Janata Dal (United),Dinesh Chandra Yadav,25.11,85.32
Bihar,Madhubani,595843,61.83,Bharatiya Janata Party,ASHOK KUMAR YADAV,25.11,85.32
Bihar,Maharajganj,546352,56.17,Bharatiya Janata Party,"Janardan Singh 'Sigriwal""",25.11,85.32
Bihar,Munger,528762,51.03,Janata Dal (United),RAJIV RANJAN SINGH ALIAS LALAN SINGH,25.11,85.32
Bihar,Muzaffarpur,666878,63.03,Bharatiya Janata Party,Ajay Nishad,25.11,85.32
Bihar,Nalanda,540888,52.45,Janata Dal (United),Kaushlendra Kumar,25.11,85.32
Bihar,Nawada,495684,52.59,Lok Jan Shakti Party,Chandan Singh,25.11,85.32
Bihar,Paschim Champaran,603706,59.6,Bharatiya Janata Party,DR. SANJAY JAISWAL,25.11,85.32
Bihar,Pataliputra,509557,47.28,Bharatiya Janata Party,RAM KRIPAL YADAV,25.11,85.32
Bihar,Patna Sahib,607506,61.85,Bharatiya Janata Party,RAVI SHANKAR PRASAD,25.11,85.32
Bihar,Purnia,632924,54.85,Janata Dal (United),SANTOSH KUMAR,25.11,85.32
Bihar,Purvi Champaran,577787,57.81,Bharatiya Janata Party,RADHA MOHAN SINGH,25.11,85.32
Bihar,Samastipur (SC),562443,55.19,Lok Jan Shakti Party,Ramchandra Paswan,25.11,85.32
Bihar,Saran,499342,53.03,Bharatiya Janata Party,Rajiv Pratap Rudy,25.11,85.32
Bihar,Sasaram (SC),494800,50.76,Bharatiya Janata Party,CHHEDI PASWAN,25.11,85.32
Bihar,Sheohar,608678,60.59,Bharatiya Janata Party,RAMA DEVI,25.11,85.32
Bihar,Sitamarhi,567745,54.65,Janata Dal (United),Sunil Kumar Pintu,25.11,85.32
Bihar,Siwan,448473,45.54,Janata Dal (United),Kavita Singh,25.11,85.32
Bihar,Supaul,597377,53.78,Janata Dal (United),Dileshwar Kamait,25.11,85.32
Bihar,Ujiarpur,543906,56.11,Bharatiya Janata Party,Nityanand Rai,25.11,85.32
Bihar,Vaishali,568215,52.87,Lok Jan Shakti Party,Veena Devi (W/o Dinesh Prasad Singh),25.11,85.32
Bihar,Valmiki Nagar,602660,58.39,Janata Dal (United),BAIDYANATH PRASAD MAHTO,25.11,85.32
Chandigarh,CHANDIGARH,231188,50.64,Bharatiya Janata Party,KIRRON KHER,30.73722,76.78722
Chhattisgarh,BASTAR,402527,44.1,Indian National Congress,DEEPAK BAIJ,21.2,82
Chhattisgarh,BILASPUR,634559,52.47,Bharatiya Janata Party,ARUN SAO,21.2,82
Chhattisgarh,DURG,849374,61.02,Bharatiya Janata Party,VIJAY BAGHEL,21.2,82
Chhattisgarh,JANJGIR-CHAMPA,572790,45.91,Bharatiya Janata Party,GUHARAM AJGALLEY,21.2,82
Chhattisgarh,KANKER,546233,47.12,Bharatiya Janata Party,MOHAN MANDAVI,21.2,82
Chhattisgarh,KORBA,523410,46.03,Indian National Congress,JYOTSNA CHARANDAS MAHANT,21.2,82
Chhattisgarh,MAHASAMUND,616580,50.44,Bharatiya Janata Party,CHUNNI LAL SAHU,21.2,82
Chhattisgarh,RAIGARH,658335,48.76,Bharatiya Janata Party,GOMATI SAI,21.2,82
Chhattisgarh,RAIPUR,837902,60.01,Bharatiya Janata Party,Sunil Kumar Soni,21.2,82
Chhattisgarh,RAJNANDGAON,662387,50.68,Bharatiya Janata Party,SANTOSH PANDEY,21.2,82
Chhattisgarh,SARGUJA,663711,51.82,Bharatiya Janata Party,Renuka Singh Saruta,21.2,82
Dadra & Nagar Haveli,Dadra And Nagar Haveli,90421,45.44,Independent,DELKAR MOHANBHAI SANJIBHAI,30.7,76.9
Daman & Diu,Daman & diu,37597,42.98,Bharatiya Janata Party,LALUBHAI BABUBHAI PATEL,20.4166666,72.8833333
Goa,North Goa,244844,57.12,Bharatiya Janata Party,SHRIPAD YESSO NAIK,28.6333333,72.2
Goa,South Goa,201561,47.47,Indian National Congress,COSME FRANCISCO CAITANO SARDINHA,28.6333333,72.2
Gujarat,Ahmedabad East,749834,67.17,Bharatiya Janata Party,Patel Hasmukhbhai Somabhai,23,72
