State,Constituency,Votes,Percentage,Party,Candidate,latitude,longitude
Andaman & Nicobar Islands,Andaman & Nicobar Islands,95308,45.98,Indian National Congress,KULDEEP RAI SHARMA,12.36718,92.924179
Andhra Pradesh,Amalapuram,485313,39.43,Yuvajana Sramika Rythu Congress Party,CHINTA ANURADHA,16.57209,82.000854
Andhra Pradesh,Anakapalli,586226,47.33,Yuvajana Sramika Rythu Congress Party,Dr.Beesetti Venkata Satyavathi,17.82366,83.20871
Andhra Pradesh,Anantapur,695208,51.79,Yuvajana Sramika Rythu Congress Party,TALARI RANGAIAH,14.68188,77.600594
Andhra Pradesh,Aruku,562190,52.32,Yuvajana Sramika Rythu Congress Party,GODDETI. MADHAVI,18.3273,82.8775
Andhra Pradesh,Bapatla,598257,47.24,Yuvajana Sramika Rythu Congress Party,NANDIGAM SURESH,15.9039,80.4671
Andhra Pradesh,Chittoor,686792,52.05,Yuvajana Sramika Rythu Congress Party,N. REDDEPPA,13.2172,79.1003
Andhra Pradesh,Eluru,676809,50.97,Yuvajana Sramika Rythu Congress Party,KOTAGIRI SRIDHAR,16.7107,81.0952
Andhra Pradesh,Hindupur,706602,52.79,Yuvajana Sramika Rythu Congress Party,KURUVA GORANTLA MADHAV,13.8223,77.5009
Andhra Pradesh,Kadapa,783799,63.8,Yuvajana Sramika Rythu Congress Party,Y.S.Avinash Reddy,14.4673,78.8242
Andhra Pradesh,Kurnool,602554,50.98,Yuvajana Sramika Rythu Congress Party,AYUSHMAN DOCTOR SANJEEV KUMAR,15.8281,78.0373
Andhra Pradesh,Machilipatnam,571436,46.02,Yuvajana Sramika Rythu Congress Party,BALASHOWRY VALLABHANENI,16.1809,81.1303
Andhra Pradesh,Nandyal,720888,55.49,Yuvajana Sramika Rythu Congress Party,POCHA BRAHMANANDA REDDY,15.4777,78.4873
Andhra Pradesh,Narasaraopet,745089,51.83,Yuvajana Sramika Rythu Congress Party,LAVU SRI KRISHNA DEVARAYALU,16.2359,80.0496
Andhra Pradesh,Narsapuram,447594,38.11,Yuvajana Sramika Rythu Congress Party,KANUMURU RAGHU RAMA KRISHNA RAJU,16.433,81.6966
Andhra Pradesh,Nellore,683830,53.13,Yuvajana Sramika Rythu Congress Party,Adala Prabhakara Reddy,14.4426,79.9865
Andhra Pradesh,Ongole,739202,55.07,Yuvajana Sramika Rythu Congress Party,MAGUNTA SREENIVASULU REDDY,15.5057,80.0499
Andhra Pradesh,Rajahmundry,582024,46.55,Yuvajana Sramika Rythu Congress Party,MARGANI BHARAT,17.0005,81.804
Andhra Pradesh,Rajampet,702211,57.35,Yuvajana Sramika Rythu Congress Party,P.V.MIDHUN REDDY,14.1969,79.1555
Andhra Pradesh,Srikakulam,534544,46.19,Telugu Desam,KINJARAPU RAM MOHAN NAIDU,18.2949,83.8938
Andhra Pradesh,Tirupati,722877,55.03,Yuvajana Sramika Rythu Congress Party,Balli Durga Prasad Rao,13.6288,79.4192
Andhra Pradesh,Vijayawada,575498,45.04,Telugu Desam,KESINENI SRINIVAS (NANI),16.5062,80.648
Andhra Pradesh,Visakhapatnam,436906,35.24,Yuvajana Sramika Rythu Congress Party,M V V SATYANARAYANA,17.6868,83.2185
Andhra Pradesh,Vizianagaram,578418,47.49,Yuvajana Sramika Rythu Congress Party,Bellana Chandra Sekhar,18.1067,83.3956
Andhra Pradesh,Guntur,587918,43.5,Telugu Desam,Jayadev Galla,16.3067,80.4365
Andhra Pradesh,Kakinada,537630,43.54,Yuvajana Sramika Rythu Congress Party,VANGA GEETHAVISWANATH,16.9891,82.2475
Arunachal Pradesh,ARUNACHAL EAST,153883,52.38,Bharatiya Janata Party,Tapir Gao,28.218,94.7278
Arunachal Pradesh,ARUNACHAL WEST,225796,63.02,Bharatiya Janata Party,KIREN RIJIJU,28,95
Assam,Autonomous District,381316,61.73,Bharatiya Janata Party,HOREN SING BEY,26.2006,92.9376
Assam,Barpeta,645173,44.23,Indian National Congress,Abdul Khaleque,26.3216,90.9821
Assam,Dhubri,718764,42.66,All India United Democratic Front,BADRUDDIN AJMAL,26.0207,89.9743
Assam,Dibrugarh,659583,64.94,Bharatiya Janata Party,RAMESWAR TELI,27.4728,94.912
Assam,Gauhati,1008936,57.2,Bharatiya Janata Party,QUEEN OJA,26.1445,91.7362
Assam,Jorhat,543288,51.35,Bharatiya Janata Party,TOPON KUMAR GOGOI,26.7509,94.2037
Assam,Kaliabor,786092,55.18,Indian National Congress,Gaurav Gogoi,26.5344,93.0923
Assam,Karimganj,473046,44.62,Bharatiya Janata Party,KRIPANATH MALLAH,24.6005,92.3814
Assam,Kokrajhar,484560,32.75,Independent,Naba Kumar Sarania,26.4014,90.2667
Assam,Lakhimpur,776406,60.49,Bharatiya Janata Party,PRADAN BARUAH,27.2064,94.1514
Assam,Mangaldoi,735469,48.83,Bharatiya Janata Party,DILIP SAIKIA,26.4463,92.0322
Assam,Nowgong,739724,49.53,Indian National Congress,Pradyut Bordoloi,26.348,92.6838
Assam,Silchar,499414,52.59,Bharatiya Janata Party,RAJDEEP ROY,24.8333,92.7789
Assam,Tezpur,684166,57.48,Bharatiya Janata Party,PALLAB LOCHAN DAS,26.6528,92.7926
Bihar,Araria,618434,52.87,Bharatiya Janata Party,PRADEEP KUMAR SINGH,26.1325,87.4528
Bihar,Arrah,566480,52.42,Bharatiya Janata Party,R. K. Singh,25.5541,84.6665
Bihar,Aurangabad,431541,45.83,Bharatiya Janata Party,SUSHIL KUMAR SINGH,24.7033,84.3542
Bihar,Banka,477788,47.98,Janata Dal (United),GIRIDHARI YADAV,24.8874,86.9198
Bihar,Begusarai,692193,56.48,Bharatiya Janata Party,Giriraj Singh,25.4182,86.1272
Bihar,Bhagalpur,618254,59.3,Janata Dal (United),AJAY KUMAR MANDAL,25.2425,86.9842
Bihar,Buxar,473053,47.94,Bharatiya Janata Party,Ashwini Kumar Choubey,25.5647,83.9777
Bihar,Darbhanga,586668,60.79,Bharatiya Janata Party,Gopal Jee Thakur,26.1542,85.8918
Bihar,Gaya (SC),467007,48.79,Janata Dal (United),Vijay Kumar,24.7269,85.0233
Bihar,Gopalganj (SC),568150,55.44,Janata Dal (United),DR. ALOK KUMAR SUMAN,26.4514,84.3963
Bihar,Hajipur (SC),541310,53.76,Lok Jan Shakti Party,PASHU PATI KUMAR PARAS,25.4621,86.0294
Bihar,Jahanabad,335584,40.82,Janata Dal (United),CHANDESHWAR PRASAD,25.2133,84.9853
Bihar,Jamui (SC),529134,55.75,Lok Jan Shakti Party,CHIRAG KUMAR PASWAN,25.3548,84.918
Bihar,Jhanjharpur,602391,56.8,Janata Dal (United),Ramprit Mandal,26.262,86.2769
Bihar,Karakat,398408,45.86,Janata Dal (United),MAHABALI SINGH,25.1803,84.2852
Bihar,Katihar,559423,50.05,Janata Dal (United),DULAL CHANDRA GOSWAMI,25.5541,87.5591
Bihar,Khagaria,510193,52.77,Lok Jan Shakti Party,Choudhary Mehboob Ali Kaiser,25.5045,86.4701
Bihar,Kishanganj,367017,33.32,Indian National Congress,Dr. Mohammad Jawed,26.0982,87.945
Bihar,Madhepura,624334,54.42,Janata Dal (United),Dinesh Chandra Yadav,25.924,86.7946
